page,query,clicks,impressions,ctrPercent,position,opportunityScore
https://temon.kr/,테스트 모음,11,413,2.66%,7.743341404358354,5.52
https://temon.kr/,테스트 사이트,8,332,2.41%,8.012048192771084,5.28
https://temon.kr/tests/perfection-balance-1xQC,완벽주의 테스트,0,120,0.00%,7.533333333333333,4.8
https://temon.kr/,심리테스트 사이트,3,172,1.74%,7.465116279069767,3.88
https://temon.kr/tests/daily-umbrella-check-wave4,우산 챙기기 추천,0,74,0.00%,8.54054054054054,2.96
https://temon.kr/tests/music-taste,노래 테스트,0,74,0.00%,7.648648648648648,2.96
https://temon.kr/,mbti 테스트 모음,1,89,1.12%,8.53932584269663,2.56
https://temon.kr/tests/pet-mbti,mbti 동물,0,58,0.00%,7.206896551724138,2.32
https://temon.kr/tests/food-presentation,음식 취향 테스트,0,40,0.00%,7.8,1.6
https://temon.kr/,mbti 테스트 한국어,0,36,0.00%,9.527777777777779,1.44
https://temon.kr/tests/kpop-idol,아이돌 포지션,0,36,0.00%,8.333333333333332,1.44
https://temon.kr/,테스트,0,62,0.00%,24.274193548387096,1.36
https://temon.kr/tests/spending-style,소비심리테스트,0,33,0.00%,9.666666666666666,1.32
https://temon.kr/,테스트모음,1,57,1.75%,8.298245614035087,1.28
https://temon.kr/tests/kpop-idol,아이돌 테스트,1,53,1.89%,6.811320754716981,1.12
https://temon.kr/tests/pet-mbti,동물 mbti,0,26,0.00%,8.615384615384615,1.04
https://temon.kr/,재미있는 테스트 모음,2,75,2.67%,6.746666666666667,1
https://temon.kr/,테스트사이트,0,22,0.00%,8.318181818181818,0.88
https://temon.kr/tests/weekend-lazy,게으름 테스트,0,20,0.00%,5.8,0.8
https://temon.kr/tests/perfection-balance-1xQC,완벽주의자 테스트,0,19,0.00%,7.157894736842105,0.76
https://temon.kr/tests/perfection-balance-1xQC,게으른 완벽주의자 테스트,0,17,0.00%,8.470588235294118,0.68
https://temon.kr/,mbti 테스트 무료,0,16,0.00%,16.75,0.64
https://temon.kr/,재밌는 mbti,0,16,0.00%,6.25,0.64
https://temon.kr/tests/ntrp-test,ntrp 뜻,0,16,0.00%,9.1875,0.64
https://temon.kr/tests/pet-mbti,나 에게 맞는 반려동물 테스트,0,16,0.00%,6.5,0.64
https://temon.kr/,심리 테스트 모음,0,15,0.00%,6.2,0.6
https://temon.kr/tests/music-taste,음악 테스트,0,15,0.00%,7.6,0.6
https://temon.kr/tests/pet-mbti,동물 성격 테스트,0,15,0.00%,17.4,0.6
https://temon.kr/tests/pet-mbti,동물 테스트,0,15,0.00%,7.933333333333334,0.6
https://temon.kr/tests/music-taste,플레이 성향 테스트,1,39,2.56%,9.35897435897436,0.56
https://temon.kr/,태스트,0,25,0.00%,20.56,0.55
https://temon.kr/,mbti 무료 테스트,0,13,0.00%,15.846153846153847,0.52
https://temon.kr/,mbti 재밌는 테스트,0,13,0.00%,6.923076923076923,0.52
https://temon.kr/tests/food-mixing,음식 취향 테스트,0,13,0.00%,15.461538461538462,0.52
https://temon.kr/,mbti test 한국어,0,12,0.00%,9.916666666666666,0.48
https://temon.kr/tests/leisure-hobby-budget-wave4,취미 추천 테스트,0,11,0.00%,10,0.44
https://temon.kr/,각종 테스트 사이트,0,10,0.00%,11.5,0.4
https://temon.kr/,무료 테스트 사이트,0,10,0.00%,8,0.4
https://temon.kr/tests,테스트,0,18,0.00%,48,0.4
https://temon.kr/,재미있는 테스트 사이트,1,33,3.03%,6.212121212121212,0.32
