slug,source,severity,score,recommendedFix,issues
alarm-habit,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test title too short or missing in registry | P2 test description too short or missing in registry | P2 result table of contents missing | P2 English section title remains
bag-organizing,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
bathroom-habit,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
bed-making,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P2 intro mojibake suspected: 26 | P2 question mojibake suspected: 16 | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P2 result mojibake suspected: 31
book-reading,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
breakfast-preference,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P1 result visible sections low: 4 | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
breakfast-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
breakup-style,static,P2,70,SEO/목차/관련 링크/문구 품질 보강,P2 test description too short or missing in registry
bungeoppang,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cafe-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P1 result paragraphs low: 4 | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cake-cutting,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
chair-sitting,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
chicken-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
chicken-vs-jjimdak,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
clean-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
clothing-order,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
coffee-mbti,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P1 result paragraphs low: 4 | P2 result table of contents missing | P2 related tests missing
commute-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing
convenience-snack,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-cleanup,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-complexity,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-create,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-experiment,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-follow,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P2 result mojibake suspected: 46
cooking-garnishing,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-improvise,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-measurement,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P2 question mojibake suspected: 19 | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-method,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-modify,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P2 result mojibake suspected: 47
cooking-multitask,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-music,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-presentation,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-recipe,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P2 question mojibake suspected: 22 | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-seasoning,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-share,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-shared,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing | P1 intro rendered H1 missing | P1 resultEntry rendered H1 missing
cooking-solo,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-time,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cooking-timing,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cstore-routine,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
cvs-combo,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
dessert-style,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
dinner-preference,static,P1,40,"결과 페이지 섹션, FAQ, 공유, 설명 보강 우선",P2 test description too short or missing in registry | P1 result FAQ missing | P1 result visible sections low: 4 | P2 result table of contents missing | P2 related tests missing | P2 result metadata missing
