source,slug,status,severity,score,summary,issues
static,alarm-habit,,P2,70,cards=14; paragraphs=16; faq=true,P2 English section title remains | P2 console logging in result page
static,bag-organizing,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,bathroom-habit,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,bed-making,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,book-reading,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,breakfast-preference,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,breakfast-style,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,breakup-style,,Pass,90,cards=8; paragraphs=8; faq=true,
static,bungeoppang,,P2,70,cards=11; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cafe-style,,P2,70,cards=10; paragraphs=9; faq=true,P2 static metadata missing | P2 console logging in result page
static,cake-cutting,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,chair-sitting,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,chicken-style,,P2,70,cards=11; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,chicken-vs-jjimdak,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,clean-style,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,clothing-order,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,coffee-mbti,,P2,70,cards=10; paragraphs=9; faq=true,P2 console logging in result page
static,commute-style,,Pass,90,cards=5; paragraphs=10; faq=true,
static,convenience-snack,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-cleanup,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-complexity,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-create,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-experiment,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-follow,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-garnishing,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-improvise,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-measurement,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-method,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-modify,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-multitask,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-music,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-presentation,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,cooking-recipe,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
